Надо брать	Текст сообщения	Дата	Время	Канал	Тайминг	Компания
Не важно	❗️🛢#бензин #дизель #макро Мировой дефицит дизеля вот-вот усилится т.к. в Бразилии начинается посевная, а эта страна является крупнейшим после Австралии импортером дизеля в мире — BBG	31.08.2026	7:43	Market Twits	31.08.2026 7:43:00	
Возможно	Запрет на экспорт дизтоплива для НПЗ продлили до конца сентября Читать далее 👉 https://smartlab.news/i/202407 мы в max	31.08.2026	7:46	Смарт Лаб	31.08.2026 7:46:00	
Возможно	🇷🇺#акции #россия #обзор Некоторые эксперты ожидают "разгона" акций РФ на фоне саммитов ШОС, ВЭФ и далее перед выборами в Госдуму 20 сентября — мониторинг	31.08.2026	7:59	Market Twits	31.08.2026 7:59:00	
Возможно	МНЕНИЕ: Трубный рынок может начать восстановление во II полугодии на фоне отложенного спроса — Ъ #TRMK Читать далее 👉 https://smartlab.news/i/202410 мы в max	31.08.2026	8:02	Смарт Лаб	31.08.2026 8:02:00	
Не важно	⚠️🇺🇸#облигации #сша Европейские центробанкиры опасаются дальнейшего хаоса в гособлигациях США — RTRS Прошлая пятница завершилась сильнейшими распродажами после ястребиных комментариев Уорша на выступлении в Джексон Хоуле. "Длинные бонды" сильно не падали - там покупает Бессент. Сегодня на азиатской сессии настроения также медвежьи — мониторинг	31.08.2026	8:08	Market Twits	31.08.2026 8:08:00	
Возможно	Выручка крупных российских брокеров в I полугодии выросла на 40% г/г, до ₽41,8 млрд. Несмотря на рост выручки, чистая прибыль большинства компаний снизилась почти на 30% — Ъ Читать далее 👉 https://smartlab.news/i/202412 мы в max	31.08.2026	8:15	Смарт Лаб	31.08.2026 8:15:00	
	🖨 КуйбышевАзот МСФО за I полугодие 2026 года: 📈 Прибыль ₽5.5 млрд (+60% г/г) 📉 Выручка ₽41,98 млрд (–4,6% г/г) Читать далее 👉 https://smartlab.news/i/202413 #KAZTP	31.08.2026	8:23	Смарт Лаб	31.08.2026 8:23:00	
	🇷🇺#KAZT #отчетность КУЙБЫШЕВАЗОТ МСФО 1П 2026Г = +5.5 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +3.4 МЛРД РУБ ГОДОМ РАНЕЕ	31.08.2026	8:24	Market Twits	31.08.2026 8:24:00	
Возможно	МНЕНИЕ: Экспорт российской пшеницы в сентябре может рухнуть на 52,1–62,5% г/г, до 1,8–2,3 млн тонн — минимум с 2010 года — Ъ #RAGR Читать далее 👉 https://smartlab.news/i/202414 мы в max	31.08.2026	8:26	Смарт Лаб	31.08.2026 8:26:00	
Важно	⚠️🇺🇦#украина #геополитика #прогноз В Минобороны РФ сообщили, что российская армия начала подготовку к массированным ударам по объектам энергетической инфраструктуры Украины в ответ на продолжающиеся удары Киева по гражданской инфраструктуре и топливно-энергетическому комплексу России.	31.08.2026	8:28	Market Twits	31.08.2026 8:28:00	
Не важно	💉#фарма #прогноз Рак кожи, мочевого пузыря, толстой и прямой кишки, а также мелкоклеточный рак легких могут быть побеждены в течение 3-6 лет — Гинцбург	31.08.2026	8:34	Market Twits	31.08.2026 8:34:00	
Не важно	⚠️🇺🇸#дкп #сша #прогноз Deutsche присоединился к Barclays и Socgen и теперь тоже прогнозирует повышение ставки ФРС в сентябре и декабре этого года	31.08.2026	8:38	Market Twits	31.08.2026 8:38:00	
Возможно	📈 Сводный индекс деловой среды РСПП в августе вырос на 0,9 пункта, до 43,3 пункта, прервав трехмесячное снижение, при этом все равно остается в зоне ухудшения Читать далее 👉 https://smartlab.news/i/202416 мы в max	31.08.2026	8:43	Смарт Лаб	31.08.2026 8:43:00	
Не важно	⚠️🌎#инфляция #апк #мир Сельхозпродукты продолжают быстро дорожать. Индекс S&P Agriculture Index растет уже 11 дней подряд - это самая продолжительная чреда роста цен в этом столетии.	31.08.2026	8:45	Market Twits	31.08.2026 8:45:00	
Возможно	🇷🇺#AFKS #OZON #VTBR АФК «Система» раскрыла структуру сделки, по которой передала ВТБ залог в виде акций Ozon — FM Холдинг заключил сложную многоэтапную сделку-аналог репо на несколько лет, в которой залогом выступали не только пакет акций маркетплейса, но и гарантии его «дочек», а также кеш на 120 млрд рублей	31.08.2026	8:50	Market Twits	31.08.2026 8:50:00	
	🇷🇺#UTAR #отчетность ЮТЭЙР МСФО 1П 2026Г = УБЫТОК -5 МЛРД РУБ ПРОТИВ УБЫТКА -0.25 МЛРД РУБ ГОДОМ РАНЕЕ	31.08.2026	8:53	Market Twits	31.08.2026 8:53:00	
Не важно	На ЦФА пришлось около 69% объема дефолтов по долговым инструментам в июне — Forbes Читать далее 👉 https://smartlab.news/i/202418 мы в max	31.08.2026	8:54	Смарт Лаб	31.08.2026 8:54:00	
Не важно	🇰🇬🇨🇳#кыргызстан #китай #макро Кыргызстан и Китай подписали договор о вечном добрососедстве, дружбе и сотрудничестве.	31.08.2026	8:55	Market Twits	31.08.2026 8:55:00	
	🖨️ Ютэйр МСФО за I полугодие 2026 года: 📈 Убыток ₽5 млрд против убытка ₽0,25 млрд годом ранее 📈 Выручка ₽54,8 млрд (+2,2% г/г) #UTAR Читать далее 👉 https://smartlab.news/i/202419 мы в max	31.08.2026	8:58	Смарт Лаб	31.08.2026 8:58:00	
	🔔 Доброе утро! Сегодня 31.08 ожидаем следующие события: 🇷🇺 Промомед: Вебинар, посвященный операционным и финансовым результатам, за 1 полугодие 2026 года 🇷🇺 Промомед: PRMD - МСФО 6 мес. 2026 г. 🇷🇺 Аренадата: Отчет МСФО за 1П 2026 года 🇷🇺 Аренадата: Онлайн-встреча с топ-менеджментом по итогам отчетности МСФО за 1п 2026г 🇷🇺 B2B-РТС: СД рассмотрит вопрос об утверждении рекомендаций относительно размера дивидендов по акциям 🇷🇺 ГЛОРАКС | Glorax: Отчет МСФО за 1 полугодие 2026 года 🇷🇺 Пресс-конференция ЦБ по проекту Основных направлений единой государственной ДКП на 2027 – 2029 годы 📆 Полный календарь тут: https://smart-lab.ru/calendar/stocks/ ✊Удачных инвестиций!	31.08.2026	9:00	Смарт Лаб	31.08.2026 9:00:00	
	🇷🇺#GLRX #отчетность ГЛОРАКС МСФО 1П 2026Г = ПРИБЫЛЬ +1.59 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +2.33 МЛРД РУБ ГОДОМ РАНЕЕ отчет	31.08.2026	9:05	Market Twits	31.08.2026 9:05:00	
Возможно	Бензин в августе был доступен только на 62,5% российских АЗС — Известия Читать далее 👉 https://smartlab.news/i/202422 мы в max	31.08.2026	9:05	Смарт Лаб	31.08.2026 9:05:00	
	🖨️ Глоракс МСФО за I полугодие 2026 года: 📉 Прибыль ₽1,59 млрд (–32% г/г) 📈 Выручка ₽27 млрд (+45% г/г) #GLRX Читать далее 👉 https://smartlab.news/i/202423 мы в max	31.08.2026	9:06	Смарт Лаб	31.08.2026 9:06:00	
Возможно	#MVID Селлеры массово идут на маркетплейс М.Видео Рост месячного притока новых продавцов в июле в сравнении с январем 2026 года составил 168%, а с июнем — 59,2%, добавляют там. За вторую половину июля — начало августа к площадке присоединилось 1,6 тыс. новых партнеров. По данным Digital Budget, в июле по отношению к началу года входящий трафик у Wildberries упал на 21%, у «Мегамаркета» — на 38%. У «М.Видео» он вырос в 2,5 раза, у Ozon — на 20%, а у «Яндекс Маркета» — на 5%.	31.08.2026	9:07	Шпион РЦБ	31.08.2026 9:07:00	
Не важно	❗️✴️🇷🇺#CBDC #россия #крипто ЦИФРОВОЙ РУБЛЬ: СТАРТ ИСПОЛЬЗОВАНИЯ Крупнейшие банки и розничные компании с 1 сентября 2026 года открывают свою инфраструктуру для работы с цифровыми рублями — ЦБ релиз	31.08.2026	9:08	Market Twits	31.08.2026 9:08:00	
Возможно	Европейская Электротехника РСБУ 1п 2026г: 📈Выручка ₽1,12 млрд (+34,9% г/г) 📈Чистая прибыль ₽0,77 млрд (рост в 37,6 раза г/г) Читать далее 👉 https://smartlab.news/i/202425 #EELT	31.08.2026	9:11	Смарт Лаб	31.08.2026 9:11:00	
Возможно	🇷🇺#смп #логистика #россия Грузопоток по Севморпути (СМП) за восемь месяцев вырос на 15% г/г. За 10 лет объем перевозок по СМП вырос почти в 10 раз — до 37 млн тонн в 2025 г, сообщил глава Минвостокразвития *Северный морской путь (СМП) — кратчайший судоходный маршрут между западной частью Евразии и Азиатско-Тихоокеанским регионом и исторически сложившаяся национальная транспортная артерия России	31.08.2026	9:14	Market Twits	31.08.2026 9:14:00	
Возможно	🇷🇺#трубы #россия #прогноз Аналитики и крупнейший в России производитель стальных труб — ТМК — рассчитывают на улучшение ситуации на внутреннем трубном рынке во 2п 2026г.	31.08.2026	9:15	Market Twits	31.08.2026 9:15:00	
Не важно	⬇️🇷🇺#пшеница #зерно #россия Экспорт пшеницы в сентябре может упасть на 52,1% - до минимума за 16 лет, прогнозируют в «Совэконе» Из-за сокращения экспорта цены на зерно продолжают падать.	31.08.2026	9:18	Market Twits	31.08.2026 9:18:00	
Не важно	⚠️🌫#серебро Производители солнечных панелей активно ищут способы сократить использование серебра в своей продукции. Это может лишить драгметалл ключевого источника спроса, который недавно помог ему достичь рекордных цен — BBG	31.08.2026	9:21	Market Twits	31.08.2026 9:21:00	
Не важно	⚠️✴️🇷🇺#дефолты #цфа #крипто #россия В 2026г дефолты на рынке ЦФА все больше напоминают системную проблему — Forbes	31.08.2026	9:24	Market Twits	31.08.2026 9:24:00	
	🇷🇺#IRKT #отчетность ЯКОВЛЕВ МСФО 1П 2026Г = УБЫТОК -5.3 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +2.5 МЛРД РУБ ГОДОМ РАНЕЕ	31.08.2026	9:26	Market Twits	31.08.2026 9:26:00	
	🖨 Яковлев МСФО за I полугодие 2026 года: 📉 Убыток ₽5.3 млрд против прибыли ₽2,5 млрд годом ранее Читать далее 👉 https://smartlab.news/i/202427 #IRKT	31.08.2026	9:26	Смарт Лаб	31.08.2026 9:26:00	
Не важно	#Нефтянка Brent снова выше $90 на фоне новой эскалации между США и Ираном США ударили по иранскому острову. Иран ответил по базам США.	31.08.2026	9:26	Шпион РЦБ	31.08.2026 9:26:00	
Не важно	🇷🇺#брокеры #россия #отчетность Выручка брокеров РФ в 1п 2026г выросла на 40% и составила почти 42 млрд руб. Основной прирост дали комиссии на долговом рынке, в том числе доходы от размещения облигаций. Однако чистая прибыль у большинства компаний снизилась почти на 30%, что отчасти связано с почти двукратным падением прибыли от торговых доходов. — Ъ	31.08.2026	9:29	Market Twits	31.08.2026 9:29:00	
Важно	🇷🇺#AFLT #отчетность СКОРРЕКТИРОВАННАЯ ЧИСТАЯ ПРИБЫЛЬ "АЭРОФЛОТА" ПО МСФО В I ПОЛУГОДИИ 2026 Г СНИЗИЛАСЬ НА 88,4% И СОСТАВИЛА 0,5 МЛРД РУБ отчет	31.08.2026	9:30	Market Twits	31.08.2026 9:30:00	
	🇷🇺#PRMD #отчетность ПРОМОМЕД МСФО 1П 2026Г = ПРИБЫЛЬ +2.58 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +1.4 МЛРД РУБ ГОДОМ РАНЕЕ отчет	31.08.2026	9:31	Market Twits	31.08.2026 9:31:00	
Важно	🖨️ Аэрофлот МСФО за I полугодие 2026 года: 📉 Скорр. прибыль ₽0,47 млрд (–88,4% г/г) 📈 Скорр. прибыль за II кв ₽9,3 млрд (+20% г/г) 📈 Выручка ₽429,8 млрд (+3,6% г/г) 📈 Выручка за II кв ₽228,6 млрд (+1,8% г/г) #AFLT Читать далее 👉 https://smartlab.news/i/202429 мы в max	31.08.2026	9:31	Смарт Лаб	31.08.2026 9:31:00	
	🖨️ Промомед МСФО за I полугодие 2026 года: 📈 Прибыль ₽2,6 млрд (+83% г/г) 📈 Выручка ₽22,8 млрд (+76% г/г) 📈 EBITDA ₽7,7 млрд (+76% г/г) #PRMD Читать далее 👉 https://smartlab.news/i/202431 мы в max	31.08.2026	9:32	Смарт Лаб	31.08.2026 9:32:00	
	🇷🇺#DATA #отчетность АРЕНДАТА МСФО 1П 2026Г = УБЫТОК -0.34 МЛРД РУБ ПРОТИВ УБЫТКА -0.92 МЛРД РУБ ГОДОМ РАНЕЕ	31.08.2026	9:33	Market Twits	31.08.2026 9:33:00	
	🇷🇺#APTK #отчетность АПТЕКИ 36.6 МСФО 1П 2026Г = ПРИБЫЛЬ +0.267 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +0.04 МЛРД РУБ ГОДОМ РАНЕЕ	31.08.2026	9:34	Market Twits	31.08.2026 9:34:00	
	🖨️ Аренадата МСФО за I полугодие 2026 года: 📈 Убыток ₽0,34 млрд против убытка ₽0,92 млрд годом ранее 📈 Выручка ₽2,5 млрд (+86% г/г) 🔮 Прогноз на 2026 год: рост выручки составит не менее 20% #DATA Читать далее 👉 https://smartlab.news/i/202432 мы в max	31.08.2026	9:35	Смарт Лаб	31.08.2026 9:35:00	
	🖨️ Аптечная сеть 36.6 МСФО за I полугодие 2026 года: 📈 Прибыль ₽0,26 млрд (рост в 6,7 раза) 📈 Выручка ₽56 млрд (+9,5% г/г) #APTK Читать далее 👉 https://smartlab.news/i/202433 мы в max	31.08.2026	9:36	Смарт Лаб	31.08.2026 9:36:00	
Не важно	✴️#ETH #прогноз #крипто Артур Хейс ожидает прост ETH до $5000 к концу этого года	31.08.2026	9:38	Market Twits	31.08.2026 9:38:00	
Возможно	🇷🇺#MVID #отчетность М.Видео зафиксировала рекордный приток продавцов на маркетплейсе: число действующих партнеров превысило 12 тысяч — отчет	31.08.2026	9:39	Market Twits	31.08.2026 9:39:00	
Не важно	#Рынки Чистая прибыль крупнейших брокеров сократилась по итогам полугодия — Коммерсантъ Выручка крупных профучастников от брокерской деятельности по итогам первого полугодия выросла на 40% и составила почти 42 млрд руб. Основной прирост дали комиссии на долговом рынке, в том числе доходы от размещения облигаций. Однако чистая прибыль у большинства компаний снизилась почти на 30%, что отчасти связано с почти двукратным падением прибыли от торговых доходов.	31.08.2026	9:39	Шпион РЦБ	31.08.2026 9:39:00	
Не важно	⬆️✴️#крипто #cot #отчетность Совокупный приток в крипо-продукты составил +$3.2 млрд на прошлой неделе, это максимальный недельный приток с окт 2025г — BofA	31.08.2026	9:43	Market Twits	31.08.2026 9:43:00	
Важно	ДВМП МСФО 1п 2026г: 📈Выручка ₽92,07 млрд (+5% г/г) 📉Чистая прибыль ₽36 млн против ₽709 млн прибыли годом ранее Читать далее 👉 https://smartlab.news/i/202435 #FESH	31.08.2026	9:45	Смарт Лаб	31.08.2026 9:45:00	
Важно	🇷🇺#FESH #отчетность ДВМП МСФО 1П 2026Г = ПРИБЫЛЬ +0.036 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +0.709 МЛРД РУБ ГОДОМ РАНЕЕ отчет	31.08.2026	9:48	Market Twits	31.08.2026 9:48:00	
Не важно	⬆️✴️#крипто #buybackи В этом году крипто-проекты направили на buybackи собственных токенов около $638 млн против $545 млн годом ранее. Почти 90% от этой суммы пришлось на проекты Hyperliquid и Pumpfun — FT #HYPE #PUMP	31.08.2026	9:49	Market Twits	31.08.2026 9:49:00	
Важно	#AFLT #Отчетность Выручка группы «Аэрофлот» за первые шесть месяцев 2026 г. выросла на 3,6% по сравнению с аналогичным периодом прошлого года, достигнув 429,8 млрд руб. Об этом говорится в отчетности по МСФО, опубликованной перевозчиком. Ключевым драйвером стал пассажиропоток, который увеличился на 0,3% до 26 млн человек, в том числе на международных линиях (+10,3%), уточняется в пресс-релизе группы. В целом пассажирооборот прибавил 5,1%. Скорректированная EBITDA (без учета разовых статей) выросла на 0,4% до 83,1 млрд руб., а скорректированная чистая прибыль составила 0,5 млрд руб.	31.08.2026	9:56	Шпион РЦБ	31.08.2026 9:56:00	
Возможно	Интермодальные перевозки группы Fesco за 1п 2026г выросли на 6% г/г до 355 тыс TEU, международные морские перевозки на 18% г/г до 302 тыс TEU #FESH Читать далее 👉 https://smartlab.news/i/202440 мы в max	31.08.2026	9:58	Смарт Лаб	31.08.2026 9:58:00	
Возможно	📈Акции М.Видео растут более, чем на 8% после новости о притоке селлеров на платформу #MVID Максимальный месячный показатель по количеству новых регистраций был достигнут в июле 2026 года — более 1,6 тыс. партнеров. Динамика роста регистраций усилилась во второй половине месяца и продолжилась в августе. При этом площадку рассматривать как новый канал продаж начали и крупные игроки рынка в непрофильных для М.Видео товарных категориях — так, например, на маркетплейсе уже торгуют Divan.ru, Аскона, РОСМЭН, ELEGANZZA, а в августе на маркетплейс вышел Стокманн. Читать далее 👉 https://smartlab.news/i/202442 мы в max	31.08.2026	10:02	Смарт Лаб	31.08.2026 10:02:00	
Возможно	⬆️🇷🇺#MVID = +8% на перетоке продавцов	31.08.2026	10:03	Market Twits	31.08.2026 10:03:00	
Не важно	МНЕНИЕ: Мировые цены на зерно могут вырасти на 10–12% из-за участившихся атак на торговые суда в Черном море, о чем сообщили представители турецкого бизнеса изданию Ekonomim #RAGR Читать далее 👉 https://smartlab.news/i/202443 мы в max	31.08.2026	10:05	Смарт Лаб	31.08.2026 10:05:00	
Не важно	🇩🇪#MBG #buyback Mercedes запускает buyback на 1 млрд евро	31.08.2026	10:06	Market Twits	31.08.2026 10:06:00	
Возможно	Аренадата уточняет прогноз по росту выручки на 2026 год: он может составит не менее 20%. #DATA Ранее компания закладывала в прогноз рост выручки на 20-40% в 2026 году. Выручка за 2025 год составила 8,75 млрд руб. Читать далее 👉 https://smartlab.news/i/202444 мы в max	31.08.2026	10:07	Смарт Лаб	31.08.2026 10:07:00	
Возможно	Нефтяной супертанкер в Ормузском проливе натолкнулся на 2 мины, после их детонации на борту судна начался пожар — КСИР Читать далее 👉 https://smartlab.news/i/202445 мы в max	31.08.2026	10:18	Смарт Лаб	31.08.2026 10:18:00	
Не важно	🇺🇸#акции #сша #обзор Корреляция между акциями внутри индекса SP500 обновила исторический минимум — CNBC	31.08.2026	10:19	Market Twits	31.08.2026 10:19:00	
Не важно	⬆️🇷🇺#IMOEX = +1%	31.08.2026	10:20	Market Twits	31.08.2026 10:20:00	
Возможно	🇷🇺#авиа #россия Минпромторг нашел способ закрыть спрос авиакомпаний на новые самолеты — ПРАЙМ Российским перевозчикам предложат Ил-114-300, который должен закрыть потребность в современных региональных самолетах, заявил замглавы Минпромторга Геннадий Абраменков	31.08.2026	10:21	Market Twits	31.08.2026 10:21:00	
Возможно	Армия Ирана заявила, что ее беспилотники атаковали авиабазу ОАЭ, где находились американские военные и вертолеты, в ответ на гибель людей в Лараке Иран ответил на предыдущую атаку США на ракетные установки на своем острове Ларак, расположенном примерно в 660 км (410 милях) к востоку от Харга, ударом по двум американским базам в Иордании, сообщили иранские СМИ. Читать далее 👉 https://smartlab.news/i/202446 мы в max	31.08.2026	10:24	Смарт Лаб	31.08.2026 10:24:00	
Не важно	✴️#обзор #крипто #биржи Hyperliquid остается королем среди всех децентрализованных бирж по месячному объему торгов крипто-фьючерсами #HYPE	31.08.2026	10:27	Market Twits	31.08.2026 10:27:00	
Возможно	Временный президент Венесуэлы заявила, что энергетическая сделка с США продлится 25 лет — Reuters Читать далее 👉 https://smartlab.news/i/202447 мы в max	31.08.2026	10:27	Смарт Лаб	31.08.2026 10:27:00	
Не важно	⚠️🇨🇳#авиа #бензин #китай Три крупнейших авиакомпании Китая Air China, China Eastern Airlines и China Southern Airlines завершили полугодие с убытком из-за роста цен на авиакеросин — WSJ	31.08.2026	10:29	Market Twits	31.08.2026 10:29:00	
Возможно	⚠️🇺🇸🇮🇷#иран #санкции Минфин США намерен еженедельно вводить вторичные санкции за связи с Ираном — Бессент	31.08.2026	10:30	Market Twits	31.08.2026 10:30:00	
Возможно	📈Индекс Мосбиржи с утра прибавляет 1% до 2137 пунктов на фоне "август - месяц черных лебедей - подошел к концу", завтра снова в школу Читать далее 👉 https://smartlab.news/i/202449 мы в max	31.08.2026	10:30	Смарт Лаб	31.08.2026 10:30:00	
Возможно	🇷🇺#SBER #отчетность #россия ТАСС: СБЕР ОЖИДАЕТ В 2026 ГОДУ ПРИБЫЛЬ СУЩЕСТВЕННО ВЫШЕ УРОВНЯ 2025 ГОДА Сбер ожидает в 2026 г. прибыль существенно выше уровня 2025 г., темп роста будет чуть ниже 20% - финдиректор	31.08.2026	10:31	Market Twits	31.08.2026 10:31:00	
Не важно	МНЕНИЕ: В сентябре спекулятивный приток может поднять индекс Мосбиржи до 2200 пунктов в случае возобновления переговоров — БКС Читать далее 👉 https://smartlab.news/i/202450 мы в max	31.08.2026	10:31	Смарт Лаб	31.08.2026 10:31:00	
Возможно	#SBER Финдиректор Сбера: мы бы хотели и дальше поддерживать планку дивидендных выплат в 50% — CFO Скворцов Сбербанк разрабатывает новую стратегию на будущие три года и представит ее уже в ноябре. Банк не обещает повторения "сверхамбициозных" планов прошлой трехлетки, но намерен и в дальнейшем поддерживать планку дивидендных выплат в 50%.	31.08.2026	10:31	Шпион РЦБ	31.08.2026 10:31:00	
Важно	Сбер ожидает в 2026 г. прибыль существенно выше уровня 2025 г., темп роста будет чуть ниже 20% — финдиректор Тарас Скворцов #SBER Читать далее 👉 https://smartlab.news/i/202451 мы в max	31.08.2026	10:33	Смарт Лаб	31.08.2026 10:33:00	
Не важно	⚠️🇩🇪#доходности #германия #облигации Доходность 10-леток Германии продолжает расти и обновлять 15-летние максимумы	31.08.2026	10:35	Market Twits	31.08.2026 10:35:00	
