Надо брать,Текст сообщения,Дата,Время,Канал,Тайминг,Проверка,Причина ошибки
Возможно,"🇷🇺#брокеры Инвесторы могут подавать заявки на участие в put-оферте по облигациям в мобильном приложении «БКС Мир инвестиций» Новая функция делает процесс участия в офертах более доступным и удобным. В приложении «БКС Мир инвестиций» пользователь может выбрать нужный выпуск облигаций, ознакомиться с параметрами предстоящей оферты и подать заявку в несколько кликов. Сервис помогает инвестору контролировать важные корпоративные события по бумагам в портфеле и своевременно принимать решения. Запуск сервиса продолжает развитие мобильного приложения «БКС Мир инвестиций» как единой платформы для управления инвестициями. Функция доступна всем пользователям приложения «БКС Мир Инвестиций» на платформах iOS и Android.",20.08.2026,17:41,MarketTwits,20.08.2026 17:41:33,Не важно,Потому что это просто какое-то сообщение о том что какие-то брокеры что-то там разрешили
Важно,"⚠️🇺🇸🇮🇷#санкции #иран Бессент: максимальное экономическое давление на Иран, будут введены самые жесткие санкции за всю историю Бессент: много сообщений о том, что блокада Ирана не работает, нужно время, она обязательно сработает",20.08.2026,18:13,MarketTwits,20.08.2026 18:13:59,ок,Ошибки нет
Важно,🇷🇺#регулирование #россия ЦБ РФ: В России появился экзамен на статус квалинвестора. Новые правила вступают в силу с 31 августа.— релиз,20.08.2026,18:15,MarketTwits,20.08.2026 18:15:38,ок,Ошибки нет
Возможно,"🌕🇷🇺#золото #россия #cot Банк России продолжает продавать золото из своих резервов, сократив свои запасы до минимума за 6 лет — BBG",20.08.2026,18:23,MarketTwits,20.08.2026 18:23:10,Не важно,Потому что это новости о товрном рынке
Возможно,"🏠 #туризм #недвижимость #обзор На фоне снижения привлекательности инвестиций в жилую и коммерческую недвижимость сохраняется интерес к туристическому сегменту, прогнозируют в @bizmall_channel. Один из таких проектов сейчас представлен на платформе — премиальный отель Аракай. Прогнозируемые дивиденды — уже в 2027 году.",20.08.2026,19:11,MarketTwits,20.08.2026 19:11:21,Не важно,Потому что это касается просто рынка коммерческой недвижимости я не знаю или туризма хер с ним
Важно,"⚠️🇺🇸🇮🇷#санкции #иран Минфин США объявил о новых санкциях, связанных с Ираном — релиз",20.08.2026,20:15,MarketTwits,20.08.2026 20:15:58,ок,Ошибки нет
Важно,⚠️🇺🇸🇮🇷#санкции #иран Бессент в понедельник 24 августа подробно расскажет о планах США по изоляции иранской экономики — BBG,20.08.2026,20:17,MarketTwits,20.08.2026 20:17:42,ок,Ошибки нет
Важно,"⚠️🇺🇸🇮🇷#санкции #иран По некоторым сообщениям, в субботу 22 августа, Трамп представит подробности нового крупного пакета санкций против Ирана",20.08.2026,20:29,MarketTwits,20.08.2026 20:29:58,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика Украина готова к переговорам с Россией об урегулировании конфликта, заявил «Укринформу» первый замглавы офиса президента Украины Сергей Кислица Дальше идут традиционные нюансы, которые Россию пока точно не устраивают: По словам Кислицы, украинская сторона «готова садиться за стол переговоров, готова слушать американскую сторону, разговаривать с россиянами и доказывать аргументы украинской стороны».... дальше можно не продолжать .... Россия недавно заявила, что не будет даже и малейшей передышки... Украина также пока не останавливается... а между SMMщиками Минобороны РФ и Украины развязалась настоящая схватка! Ситуация только накаляется... Ситуация в развитии.",20.08.2026,22:10,MarketTwits,20.08.2026 22:10:15,ок,Ошибки нет
Важно,"🇺🇦#украина #выборы Уволенный Зеленским бывший министр обороны Украины Федоров планирует поехать в США, сообщают украинские СМИ ——————————— Ранее Федоров заявил о кризисе управления в стране и выступил за проведение выборов. Это обращение BBG назвал началом предвыборной кампании Федорова.",20.08.2026,22:23,MarketTwits,20.08.2026 22:23:56,ок,Ошибки нет
Возможно,🌎#markets,21.08.2026,6:58,MarketTwits,21.08.2026 6:58:20,Не важно,Потому что это просто какой-то абстрактный #БезКакой-Либо
Возможно,"❗️🇷🇺#мобилизация #россия Россия не планирует проводить массовую мобилизацию, так как в ней нет необходимости — постоянный представитель РФ при ООН Василий Небензя — ТАСС",21.08.2026,7:09,MarketTwits,21.08.2026 7:09:47,Важно,"Потому что это касается мобилизации в России, и войны между Украиной и россией"
Возможно,"🇷🇺#LENT ЛЕНТА ведет переговоры о покупке крупнейшего сибирского ритейлера ""Мария-Ра"" — Известия «Мария-Ра» — крупнейшая розничная сеть в Сибири. На 1 июля 2026 года она насчитывала 1303 магазина формата «у дома» в 280 населенных пунктах",21.08.2026,7:13,MarketTwits,21.08.2026 7:13:40,Ок,Ошибки нет
Возможно,"🛢🇷🇺🇮🇳#нефть #спг #удобрения #россия #индия Москва и Нью-Дели обсуждают развертывание во Владивостоке мощностей по перевалке нефти, СПГ и удобрений для отгрузок в Индию — посол",21.08.2026,7:19,MarketTwits,21.08.2026 7:19:13,Не важно,Это касается каких-то абстрактных активностей между россией и Индией
Важно,"⚠️🇺🇦🇷🇺#RUAL #санкции Украина ввела санкции против пяти предприятий группы ""Русал"" Санкции вводятся сроком на 10 лет. В список попали Братский, Красноярский и Саяногорский алюминиевые заводы.",21.08.2026,7:21,MarketTwits,21.08.2026 7:21:08,ок,Ошибки нет
Важно,🇷🇺#TGKN #отчетность 27 августа - ТГК-14 - МСФО 1п 2026г,21.08.2026,7:35,MarketTwits,21.08.2026 7:35:46,ок,Ошибки нет
Важно,🇷🇺#SOFL #отчетность 27 августа - Софтлайн - МСФО 1п 2026г,21.08.2026,7:35,MarketTwits,21.08.2026 7:35:46,ок,Ошибки нет
Важно,🇷🇺#WUSH #отчетность 27 августа -ВУШ - МСФО 1п 2026г,21.08.2026,7:35,MarketTwits,21.08.2026 7:35:46,ок,Ошибки нет
Важно,"⚠️🇺🇸🇮🇷#санкции #иран Вице-президент США Вэнс заявил, что сроки экономического давления на Иран неизвестны",21.08.2026,8:04,MarketTwits,21.08.2026 8:04:32,ок,Ошибки нет
Возможно,🇷🇺#кибербез #россия Банки могут увеличить инвестиции в защиту от хакеров за год на 10-15% — Ъ,21.08.2026,8:06,MarketTwits,21.08.2026 8:06:51,Не важно,Потому что это просто абстрактное новость про кибербезопасность
Возможно,🇮🇳🇷🇺#фарма #индия #россия Индийская Cadila Pharmaceuticals вложит $100 млн в строительство завода на Кубани,21.08.2026,8:18,MarketTwits,21.08.2026 8:18:51,Не важно,Потому что это касается какой-то индийской компании
Возможно,⬆️🇷🇺#уголь #россия Опасения относительно добычи металлургического угля в Китае способствуют росту цен на российское сырье — Ъ,21.08.2026,8:19,MarketTwits,21.08.2026 8:19:46,Не важно,Потому что это касается абстрактной новости про угольный рынок в целом в мире
Важно,⚠️🇺🇦#украина #геополитика ТАСС: Рябков назвал неприемлемыми попытки ЕС и Киева выиграть время для перевооружения ВСУ,21.08.2026,8:21,MarketTwits,21.08.2026 8:21:23,ок,Ошибки нет
Возможно,⬆️🌕#золото Золото = $4600,21.08.2026,8:23,MarketTwits,21.08.2026 8:23:52,Не важно,Потому что это просто факт упоминание цены на золото в моменте
Возможно,⬆️🫖#сахар Цены на сахар обновляют годовалые максимумы,21.08.2026,8:54,MarketTwits,21.08.2026 8:54:33,Не важно,Потому что это новости о товрном рынке
Важно,"🚫🛢🇷🇺#бензин #россия Нефтепереработка в России вновь опустилась ниже 3,9 млн б/с из-за продолжающихся ударов Украины по российским НПЗ — BBG",21.08.2026,8:57,MarketTwits,21.08.2026 8:57:14,ок,Ошибки нет
Важно,"🇷🇺#бюджет #офз #россия Фискальная ситуация по итогам первых семи месяцев остается сложной. Дефицит бюджета за счет устойчивости экономики и стабильности ненефтегазовых доходов находится в пределах разумного, и всё же его придется закрывать. Делаться это будет с помощью заимствований. До конца года Минфин должен продать ОФЗ на 6 трлн руб — Известия",21.08.2026,9:01,MarketTwits,21.08.2026 9:01:47,ок,Ошибки нет
Возможно,❗️🇷🇺#BSPB #дивиденд СД БАНК “САНКТ-ПЕТЕРБУРГ : ДИВИДЕНДЫ 1П 2026Г ОБЫЧКА = 19.17 РУБ ПРЕФ = 0.22 РУБ ВОСА - 24 сентября отсечка - 5 октября,21.08.2026,9:10,MarketTwits,21.08.2026 9:10:18,Важно,Потому что это касается дефицита бюджета в России
Важно,🇷🇺#BSPB #отчетность БСПБ МСФО 1П 2026Г = ПРИБЫЛЬ + 16.5 МЛРД РУБ ПРОТИВ +24.6 МЛРД ГОДОМ РАНЕЕ 2КВ 2026Г = ПРИБЫЛЬ + 5.6 МЛРД РУБ ПРОТИВ +9.1 МЛРД ГОДОМ РАНЕЕ,21.08.2026,9:28,MarketTwits,21.08.2026 9:28:50,ок,Ошибки нет
Возможно,"🇷🇺#ENPG #отчетность ЧИСТАЯ ПРИБЫЛЬ ""ЭН+ ГРУП"" В I ПОЛУГОДИИ ВЫРОСЛА ДО $905 МЛН С $333 МЛН ГОД НАЗАД ПРОИЗВОДСТВО ЭЛЕКТРОЭНЕРГИИ EN+ GROUP В I ПОЛУГОДИИ ВЫРОСЛО НА 5,1%, ДО 41,1 МЛРД КВТ.Ч отчет",21.08.2026,10:00,MarketTwits,21.08.2026 10:00:52,Важно,Потому что это касается отчётности компании
Важно,🇷🇺#RENI #отчетность РЕНЕССАНС МСФО 1П 2026Г = УБЫТОК -1.4 МЛРД РУБ ПРОТИВ ПРИБЫЛИ +5 МЛРД РУБ ГОДОМ РАНЕЕ Компания приняла решение ускорить процесс погашения акций отчет,21.08.2026,10:02,MarketTwits,21.08.2026 10:02:19,ок,Ошибки нет
Возможно,"⚠️❗️#пятница #warning Главный аналитик Виктор Веселов предупреждает: ""инвесторам следует быть осторожнее в Пятницу""",21.08.2026,10:34,MarketTwits,21.08.2026 10:34:15,Не важно,Потому что это просто это абстрактный комментарий не касающиеся конкретной бумаги ещё чего-то
Возможно,🇷🇺#мясо #торги #россия Продажи мяса на бирже в России за I полугодие превысили объем за весь 2025г — Ъ,21.08.2026,10:46,MarketTwits,21.08.2026 10:46:05,Не важно,Это просто абстрактное новость о торгах мясом на бирже мясо ваще не интересует
Важно,🇷🇺#AKRN #отчетность АКРОН МСФО 1П 2026Г = ПРИБЫЛЬ + 26.1 МЛРД РУБ ПРОТИВ +30.2 МЛРД ГОДОМ РАНЕЕ 2КВ 2026Г = ПРИБЫЛЬ + 23.4 МЛРД РУБ ПРОТИВ +15.7 МЛРД ГОДОМ РАНЕЕ отчет,21.08.2026,10:59,MarketTwits,21.08.2026 10:59:18,ок,Ошибки нет
Возможно,"⬆️☁️#хлопок хлопок тестирует майские максимумы впереди - ускорение движения вверх, которое началось год назад больше никаких дешевых футболок и трусов — аналитики",21.08.2026,11:31,MarketTwits,21.08.2026 11:31:19,Не важно,Потому что это новости о товрном рынке
Возможно,"Получайте кэшбэк до 3000 рублей каждый месяц с дебетовой картой Black от Т-Банка Кэшбэк можно потратить на что угодно. С картой Black вы также получаете: • Бесплатные платежи и переводы. • Поддержку 24/7 в чате и по телефону. • Снятие наличных в банкоматах любых банков бесплатно от 3000 рублей. Представитель банка доставит карту в удобное для вас место и поможет её активировать. Если у вас ещё нет дебетовой карты Black, самое время это исправить. Оформить карту можно по ссылке всего за пару минут и получить её в удобное время.",21.08.2026,11:35,MarketTwits,21.08.2026 11:35:11,Не важно,Это просто реклама
Не важно,"🇷🇺#OKEY #отчетность ВЫРУЧКА ГК ""О'КЕЙ"" В1П 2026Г ВЫРОСЛА НА 10,4% - ДО 43,3 МЛРД РУБ., EBITDA НА 6,7%",21.08.2026,12:18,MarketTwits,21.08.2026 12:18:27,Важно,Потому что это касается отчётности компании
Возможно,⬆️#серебро = $70,21.08.2026,12:23,MarketTwits,21.08.2026 12:23:41,Не важно,Это просто факт упоминания цены серебра на рынке в моменте
Важно,"🇷🇺#fx #цб #россия Обменный курс валют перешел в разряд «философских вопросов». Рубль и ключевая ставка уже не обсуждаются на уровне президента, правительства и ЦБ. Бизнес настолько давно говорит об этом, что «разговор стал похож на мантру, а все аргументы давно известны» — Шохин",21.08.2026,12:52,MarketTwits,21.08.2026 12:52:29,ок,Ошибки нет
Возможно,⚠️🇧🇾🇫🇮#геополитика #беларусь #финляндия Беларусь 1 сентября закроет посольство в Финляндии,21.08.2026,12:53,MarketTwits,21.08.2026 12:53:43,Не важно,Касается взаимоотношений между Белоруссией и финляндией
Возможно,"📊#рынки #cot #отчетность В фонды мировых акций, облигаций, денежных рынков и других активов идут притоки уже 3 недели подряд, если верить данным LSEG хотя в мировых гособлигациях за этот период явно были продажи",21.08.2026,13:02,MarketTwits,21.08.2026 13:02:51,Не важно,Потому что это как-то абстрактный комментарий про мировые фонды ак
Возможно,"📊#товары #макро #прогноз Товарно-сырьевые рынки, возможно, находятся на пороге нового ралли после ""циклической"" 2-декадной консолидации — презентация",21.08.2026,13:16,MarketTwits,21.08.2026 13:16:19,Не важно,Потому что это какой-то абстрактный комментарий от товара на сырье вых ры
Возможно,"🇷🇺#selectel #отчетность Облачный провайдер инфраструктуры Selectel отчитался за 1 полугодие 2026г: выручка 10 млрд (+14% г-к-г) Компания осознанно наращивает инвестиции: закупает оборудование опережающими темпами, увеличивая объем вложений, в частности, в более мощную инфраструктуру для ИИ. Умеренный рост долговой нагрузки Selectel отражает активную фазу инвестиционной программы, необходимой для поддержания темпов роста сейчас и в будущем. — компания Показатель скорректированной EBITDA вырос на 3% год к году до 5,4 млрд рублей за отчетный период. Рентабельность по скорр. EBITDA составила 53%. отчет",21.08.2026,13:19,MarketTwits,21.08.2026 13:19:47,Важно,Потому что это касается отчётности конкретной компании
Возможно,⬆️🛢#нефть Нефть завершает вторую неделю ростом,21.08.2026,14:56,MarketTwits,21.08.2026 14:56:11,Не важно,Это просто факт роста рынка нефти
